,serum,virus,replicate,concentration,fraction infectivity
0,25_d18,wildtype,1,0.005,0.01625
1,25_d18,wildtype,1,0.001667,0.0629
2,25_d18,wildtype,1,0.0005556,0.07632
3,25_d18,wildtype,1,0.0001852,0.1472
4,25_d18,wildtype,1,6.17E-05,0.2228
5,25_d18,wildtype,1,2.06E-05,0.5494
6,25_d18,wildtype,1,6.86E-06,0.6959
7,25_d18,wildtype,2,0.005,0.01547
8,25_d18,wildtype,2,0.001667,0.02726
9,25_d18,wildtype,2,0.0005556,0.1712
10,25_d18,wildtype,2,0.0001852,0.1842
11,25_d18,wildtype,2,6.17E-05,0.314
12,25_d18,wildtype,2,2.06E-05,0.5838
13,25_d18,wildtype,2,6.86E-06,0.7642
14,25_d94,wildtype,1,0.05,0.008448
15,25_d94,wildtype,1,0.01667,0.09123
16,25_d94,wildtype,1,0.005556,0.244
17,25_d94,wildtype,1,0.001852,0.4326
18,25_d94,wildtype,1,0.0006173,0.8628
19,25_d94,wildtype,1,0.0002058,0.9484
20,25_d94,wildtype,1,6.86E-05,0.9879
21,25_d94,wildtype,2,0.05,0.00221
22,25_d94,wildtype,2,0.01667,0.07204
23,25_d94,wildtype,2,0.005556,0.2744
24,25_d94,wildtype,2,0.001852,0.5229
25,25_d94,wildtype,2,0.0006173,0.7491
26,25_d94,wildtype,2,0.0002058,0.8228
27,25_d94,wildtype,2,6.86E-05,0.7975
28,23C_d26,wildtype,1,0.05,0.04666
29,23C_d26,wildtype,1,0.01667,0.2703
30,23C_d26,wildtype,1,0.005556,0.5315
31,23C_d26,wildtype,1,0.001852,0.546
32,23C_d26,wildtype,1,0.0006173,0.7861
33,23C_d26,wildtype,1,0.0002058,0.8977
34,23C_d26,wildtype,1,6.86E-05,0.7794
35,23C_d26,wildtype,2,0.05,0.07083
36,23C_d26,wildtype,2,0.01667,0.2064
37,23C_d26,wildtype,2,0.005556,0.338
38,23C_d26,wildtype,2,0.001852,0.4249
39,23C_d26,wildtype,2,0.0006173,0.7788
40,23C_d26,wildtype,2,0.0002058,0.9028
41,23C_d26,wildtype,2,6.86E-05,0.8703
42,23C_d102,wildtype,1,0.05,0.007668
43,23C_d102,wildtype,1,0.01667,0.06655
44,23C_d102,wildtype,1,0.005556,0.2385
45,23C_d102,wildtype,1,0.001852,0.472
46,23C_d102,wildtype,1,0.0006173,0.7364
47,23C_d102,wildtype,1,0.0002058,0.9742
48,23C_d102,wildtype,1,6.86E-05,0.8256
49,23C_d102,wildtype,2,0.05,0.002989
50,23C_d102,wildtype,2,0.01667,0.04371
51,23C_d102,wildtype,2,0.005556,0.1639
52,23C_d102,wildtype,2,0.001852,0.4272
53,23C_d102,wildtype,2,0.0006173,0.8673
54,23C_d102,wildtype,2,0.0002058,0.9192
55,23C_d102,wildtype,2,6.86E-05,0.8188
56,1C_d26,wildtype,1,0.025,0.009632
57,1C_d26,wildtype,1,0.008333,0.06719
58,1C_d26,wildtype,1,0.002778,0.2525
59,1C_d26,wildtype,1,0.0009259,0.5963
60,1C_d26,wildtype,1,0.0003086,0.8231
61,1C_d26,wildtype,1,0.0001029,0.8777
62,1C_d26,wildtype,1,3.43E-05,1.027
63,1C_d26,wildtype,2,0.025,0.007673
64,1C_d26,wildtype,2,0.008333,0.02748
65,1C_d26,wildtype,2,0.002778,0.1244
66,1C_d26,wildtype,2,0.0009259,0.5207
67,1C_d26,wildtype,2,0.0003086,0.6802
68,1C_d26,wildtype,2,0.0001029,0.8908
69,1C_d26,wildtype,2,3.43E-05,0.9863
70,1C_d113,wildtype,1,0.05,0.01061
71,1C_d113,wildtype,1,0.01667,0.07928
72,1C_d113,wildtype,1,0.005556,0.3454
73,1C_d113,wildtype,1,0.001852,0.4384
74,1C_d113,wildtype,1,0.0006173,0.9281
75,1C_d113,wildtype,1,0.0002058,0.9609
76,1C_d113,wildtype,1,6.86E-05,0.9365
77,1C_d113,wildtype,2,0.05,0.01355
78,1C_d113,wildtype,2,0.01667,0.1069
79,1C_d113,wildtype,2,0.005556,0.2552
80,1C_d113,wildtype,2,0.001852,0.5834
81,1C_d113,wildtype,2,0.0006173,0.753
82,1C_d113,wildtype,2,0.0002058,0.9499
83,1C_d113,wildtype,2,6.86E-05,0.8755
84,24C_d32,wildtype,1,0.005,0.01061
85,24C_d32,wildtype,1,0.001667,0.02748
86,24C_d32,wildtype,1,0.0005556,0.09819
87,24C_d32,wildtype,1,0.0001852,0.2942
88,24C_d32,wildtype,1,6.17E-05,0.7625
89,24C_d32,wildtype,1,2.06E-05,0.8597
90,24C_d32,wildtype,1,6.86E-06,0.8395
91,24C_d32,wildtype,2,0.005,0.02139
92,24C_d32,wildtype,2,0.001667,0.04043
93,24C_d32,wildtype,2,0.0005556,0.1415
94,24C_d32,wildtype,2,0.0001852,0.3731
95,24C_d32,wildtype,2,6.17E-05,0.666
96,24C_d32,wildtype,2,2.06E-05,0.8928
97,24C_d32,wildtype,2,6.86E-06,0.8815
98,24C_d104,wildtype,1,0.025,0.01943
99,24C_d104,wildtype,1,0.008333,0.03957
100,24C_d104,wildtype,1,0.002778,0.1469
101,24C_d104,wildtype,1,0.0009259,0.332
102,24C_d104,wildtype,1,0.0003086,0.7123
103,24C_d104,wildtype,1,0.0001029,0.983
104,24C_d104,wildtype,1,3.43E-05,0.9184
105,24C_d104,wildtype,2,0.025,0.003756
106,24C_d104,wildtype,2,0.008333,0.02662
107,24C_d104,wildtype,2,0.002778,0.1144
108,24C_d104,wildtype,2,0.0009259,0.416
109,24C_d104,wildtype,2,0.0003086,0.5733
110,24C_d104,wildtype,2,0.0001029,0.8166
111,24C_d104,wildtype,2,3.43E-05,0.8618
112,25_d18,G446V,1,0.005,0.06482
113,25_d18,G446V,1,0.001667,0.2459
114,25_d18,G446V,1,0.0005556,0.6497
115,25_d18,G446V,1,0.0001852,0.8812
116,25_d18,G446V,1,6.17E-05,0.9089
117,25_d18,G446V,1,2.06E-05,1
118,25_d18,G446V,1,6.86E-06,0.9713
119,25_d18,G446V,2,0.005,0.02819
120,25_d18,G446V,2,0.001667,0.2876
121,25_d18,G446V,2,0.0005556,0.6578
122,25_d18,G446V,2,0.0001852,0.8166
123,25_d18,G446V,2,6.17E-05,0.8301
124,25_d18,G446V,2,2.06E-05,1.005
125,25_d18,G446V,2,6.86E-06,0.9352
126,25_d94,G446V,1,0.05,0.0001803
127,25_d94,G446V,1,0.01667,0.1894
128,25_d94,G446V,1,0.005556,0.5095
129,25_d94,G446V,1,0.001852,0.6177
130,25_d94,G446V,1,0.0006173,0.8596
131,25_d94,G446V,1,0.0002058,1.129
132,25_d94,G446V,1,6.86E-05,1.041
133,25_d94,G446V,2,0.05,0.02819
134,25_d94,G446V,2,0.01667,0.123
135,25_d94,G446V,2,0.005556,0.4287
136,25_d94,G446V,2,0.001852,0.8708
137,25_d94,G446V,2,0.0006173,0.9532
138,25_d94,G446V,2,0.0002058,1.012
139,25_d94,G446V,2,6.86E-05,0.8204
140,23C_d26,G446V,1,0.05,0.1316
141,23C_d26,G446V,1,0.01667,0.4424
142,23C_d26,G446V,1,0.005556,0.6739
143,23C_d26,G446V,1,0.001852,0.8527
144,23C_d26,G446V,1,0.0006173,0.9507
145,23C_d26,G446V,1,0.0002058,1.151
146,23C_d26,G446V,1,6.86E-05,0.9926
147,23C_d26,G446V,2,0.05,0.0756
148,23C_d26,G446V,2,0.01667,0.4104
149,23C_d26,G446V,2,0.005556,0.6847
150,23C_d26,G446V,2,0.001852,0.9509
151,23C_d26,G446V,2,0.0006173,0.9163
152,23C_d26,G446V,2,0.0002058,1.041
153,23C_d26,G446V,2,6.86E-05,1.014
154,23C_d102,G446V,1,0.05,0.002334
155,23C_d102,G446V,1,0.01667,0.0739
156,23C_d102,G446V,1,0.005556,0.4826
157,23C_d102,G446V,1,0.001852,0.7985
158,23C_d102,G446V,1,0.0006173,0.7168
