,serum,virus,replicate,concentration,fraction infectivity
0,1C_d26,WT,1,0.025,0.005157
1,1C_d26,WT,1,0.008333,0.04256
2,1C_d26,WT,1,0.002778,0.1429
3,1C_d26,WT,1,0.0009259,0.4398
4,1C_d26,WT,1,0.0003086,0.6351
5,1C_d26,WT,1,0.0001029,0.9779
6,1C_d26,WT,1,3.43E-05,0.9123
7,1C_d26,WT,2,0.025,0.001637
8,1C_d26,WT,2,0.008333,0.02189
9,1C_d26,WT,2,0.002778,0.1588
10,1C_d26,WT,2,0.0009259,0.3936
11,1C_d26,WT,2,0.0003086,0.6464
12,1C_d26,WT,2,0.0001029,0.8417
13,1C_d26,WT,2,3.43E-05,0.8896
14,1C_d113,WT,1,0.05,0.004506
15,1C_d113,WT,1,0.01667,0.0459
16,1C_d113,WT,1,0.005556,0.3228
17,1C_d113,WT,1,0.001852,0.566
18,1C_d113,WT,1,0.0006173,0.8348
19,1C_d113,WT,1,0.0002058,0.8647
20,1C_d113,WT,1,6.86E-05,0.7272
21,1C_d113,WT,2,0.05,0.009563
22,1C_d113,WT,2,0.01667,0.04702
23,1C_d113,WT,2,0.005556,0.2949
24,1C_d113,WT,2,0.001852,0.5622
25,1C_d113,WT,2,0.0006173,0.841
26,1C_d113,WT,2,0.0002058,0.8241
27,1C_d113,WT,2,6.86E-05,1.086
28,24C_d32,WT,1,0.005,0.004431
29,24C_d32,WT,1,0.001667,0.03634
30,24C_d32,WT,1,0.0005556,0.117
31,24C_d32,WT,1,0.0001852,0.3262
32,24C_d32,WT,1,6.17E-05,0.8032
33,24C_d32,WT,1,2.06E-05,0.7376
34,24C_d32,WT,1,6.86E-06,0.8989
35,24C_d32,WT,2,0.005,0.006133
36,24C_d32,WT,2,0.001667,0.008212
37,24C_d32,WT,2,0.0005556,0.08541
38,24C_d32,WT,2,0.0001852,0.3478
39,24C_d32,WT,2,6.17E-05,0.6931
40,24C_d32,WT,2,2.06E-05,0.8419
41,24C_d32,WT,2,6.86E-06,1.017
42,24C_d104,WT,1,0.025,0.004509
43,24C_d104,WT,1,0.008333,0.02233
44,24C_d104,WT,1,0.002778,0.1427
45,24C_d104,WT,1,0.0009259,0.3748
46,24C_d104,WT,1,0.0003086,0.6595
47,24C_d104,WT,1,0.0001029,0.7246
48,24C_d104,WT,1,3.43E-05,0.9527
49,24C_d104,WT,2,0.025,0.002807
50,24C_d104,WT,2,0.008333,0.04972
51,24C_d104,WT,2,0.002778,0.1618
52,24C_d104,WT,2,0.0009259,0.4567
53,24C_d104,WT,2,0.0003086,0.6487
54,24C_d104,WT,2,0.0001029,0.8199
55,24C_d104,WT,2,3.43E-05,0.9934
56,1C_d26,F456K,1,0.025,0.0009729
57,1C_d26,F456K,1,0.008333,0.008352
58,1C_d26,F456K,1,0.002778,0.1569
59,1C_d26,F456K,1,0.0009259,0.5684
60,1C_d26,F456K,1,0.0003086,0.7762
61,1C_d26,F456K,1,0.0001029,0.9456
62,1C_d26,F456K,1,3.43E-05,0.8801
63,1C_d26,F456K,2,0.025,0.0002703
64,1C_d26,F456K,2,0.008333,0.01753
65,1C_d26,F456K,2,0.002778,0.1982
66,1C_d26,F456K,2,0.0009259,0.4089
67,1C_d26,F456K,2,0.0003086,0.8468
68,1C_d26,F456K,2,0.0001029,0.8407
69,1C_d26,F456K,2,3.43E-05,1.076
70,1C_d113,F456K,1,0.05,-0.0009189
71,1C_d113,F456K,1,0.01667,0.01416
72,1C_d113,F456K,1,0.005556,0.1626
73,1C_d113,F456K,1,0.001852,0.2747
74,1C_d113,F456K,1,0.0006173,0.5801
75,1C_d113,F456K,1,0.0002058,0.6862
76,1C_d113,F456K,1,6.86E-05,0.8855
77,1C_d113,F456K,2,0.05,0.0001622
78,1C_d113,F456K,2,0.01667,0.07396
79,1C_d113,F456K,2,0.005556,0.1222
80,1C_d113,F456K,2,0.001852,0.2585
81,1C_d113,F456K,2,0.0006173,0.7741
82,1C_d113,F456K,2,0.0002058,0.7896
83,1C_d113,F456K,2,6.86E-05,0.9336
84,24C_d32,F456K,1,0.005,-0.0005675
85,24C_d32,F456K,1,0.001667,0.001601
86,24C_d32,F456K,1,0.0005556,0.03701
87,24C_d32,F456K,1,0.0001852,0.2134
88,24C_d32,F456K,1,6.17E-05,0.7012
89,24C_d32,F456K,1,2.06E-05,0.7574
90,24C_d32,F456K,1,6.86E-06,0.9579
91,24C_d32,F456K,2,0.005,-0.001081
92,24C_d32,F456K,2,0.001667,0.007347
93,24C_d32,F456K,2,0.0005556,0.08289
94,24C_d32,F456K,2,0.0001852,0.2102
95,24C_d32,F456K,2,6.17E-05,0.645
96,24C_d32,F456K,2,2.06E-05,0.77
97,24C_d32,F456K,2,6.86E-06,0.8817
98,24C_d104,F456K,1,0.025,0
99,24C_d104,F456K,1,0.008333,0.001231
100,24C_d104,F456K,1,0.002778,0.1306
101,24C_d104,F456K,1,0.0009259,0.2248
102,24C_d104,F456K,1,0.0003086,0.5652
103,24C_d104,F456K,1,0.0001029,0.4908
104,24C_d104,F456K,1,3.43E-05,0.8729
105,24C_d104,F456K,2,0.025,0.001865
106,24C_d104,F456K,2,0.008333,0.001703
107,24C_d104,F456K,2,0.002778,0.1011
108,24C_d104,F456K,2,0.0009259,0.3607
109,24C_d104,F456K,2,0.0003086,0.5506
110,24C_d104,F456K,2,0.0001029,0.8815
111,24C_d104,F456K,2,3.43E-05,1.075
112,1C_d26,E484P,1,0.025,0.1923
113,1C_d26,E484P,1,0.008333,0.2328
114,1C_d26,E484P,1,0.002778,0.4758
115,1C_d26,E484P,1,0.0009259,0.7166
116,1C_d26,E484P,1,0.0003086,0.8952
