,serum,virus,replicate,concentration,fraction infectivity
0,22C_d28,E484P,1,0.025,0.07686
1,22C_d28,E484P,1,0.008333,0.2425
2,22C_d28,E484P,1,0.002778,0.07039
3,22C_d28,E484P,1,0.0009259,0.594
4,22C_d28,E484P,1,0.0003086,0.6949
5,22C_d28,E484P,1,0.0001029,0.9283
6,22C_d28,E484P,1,3.43E-05,1.091
7,22C_d28,E484P,2,0.025,0.1392
8,22C_d28,E484P,2,0.008333,0.1984
9,22C_d28,E484P,2,0.002778,0.315
10,22C_d28,E484P,2,0.0009259,0.5735
11,22C_d28,E484P,2,0.0003086,0.4541
12,22C_d28,E484P,2,0.0001029,0.9983
13,22C_d28,E484P,2,3.43E-05,1.088
14,22C_d104,E484P,1,0.025,0.2526
15,22C_d104,E484P,1,0.008333,0.3975
16,22C_d104,E484P,1,0.002778,0.3979
17,22C_d104,E484P,1,0.0009259,0.5668
18,22C_d104,E484P,1,0.0003086,0.7238
19,22C_d104,E484P,1,0.0001029,0.8859
20,22C_d104,E484P,1,3.43E-05,1.038
21,22C_d104,E484P,2,0.025,0.3238
22,22C_d104,E484P,2,0.008333,0.3312
23,22C_d104,E484P,2,0.002778,0.4837
24,22C_d104,E484P,2,0.0009259,0.5361
25,22C_d104,E484P,2,0.0003086,0.4905
26,22C_d104,E484P,2,0.0001029,0.6548
27,22C_d104,E484P,2,3.43E-05,0.9109
28,22C_d28,S494P,1,0.025,0.01223
29,22C_d28,S494P,1,0.008333,0.07784
30,22C_d28,S494P,1,0.002778,0.419
31,22C_d28,S494P,1,0.0009259,0.6994
32,22C_d28,S494P,1,0.0003086,0.8275
33,22C_d28,S494P,1,0.0001029,0.6048
34,22C_d28,S494P,1,3.43E-05,0.8898
35,22C_d28,S494P,2,0.025,0.06955
36,22C_d28,S494P,2,0.008333,0.06807
37,22C_d28,S494P,2,0.002778,0.2943
38,22C_d28,S494P,2,0.0009259,0.674
39,22C_d28,S494P,2,0.0003086,0.6593
40,22C_d28,S494P,2,0.0001029,0.7813
41,22C_d28,S494P,2,3.43E-05,0.713
42,22C_d104,S494P,1,0.025,0.1172
43,22C_d104,S494P,1,0.008333,0.1898
44,22C_d104,S494P,1,0.002778,0.4431
45,22C_d104,S494P,1,0.0009259,0.6265
46,22C_d104,S494P,1,0.0003086,0.6304
47,22C_d104,S494P,1,0.0001029,0.6316
48,22C_d104,S494P,1,3.43E-05,0.8521
49,22C_d104,S494P,2,0.025,0.07582
50,22C_d104,S494P,2,0.008333,0.2839
51,22C_d104,S494P,2,0.002778,0.3993
52,22C_d104,S494P,2,0.0009259,0.6188
53,22C_d104,S494P,2,0.0003086,0.6594
54,22C_d104,S494P,2,0.0001029,0.6035
55,22C_d104,S494P,2,3.43E-05,0.7181
56,23C_d26,S494P,1,0.05,0.1011
57,23C_d26,S494P,1,0.01667,0.1969
58,23C_d26,S494P,1,0.005556,0.7133
59,23C_d26,S494P,1,0.001852,0.7829
60,23C_d26,S494P,1,0.0006173,1.245
61,23C_d26,S494P,1,0.0002058,0.6409
62,23C_d26,S494P,1,6.86E-05,0.7965
63,23C_d26,S494P,2,0.05,0.1921
64,23C_d26,S494P,2,0.01667,0.3605
65,23C_d26,S494P,2,0.005556,0.6774
66,23C_d26,S494P,2,0.001852,0.8322
67,23C_d26,S494P,2,0.0006173,0.9463
68,23C_d26,S494P,2,0.0002058,0.7651
69,23C_d26,S494P,2,6.86E-05,0.9226
70,23C_d102,S494P,1,0.05,0.0408
71,23C_d102,S494P,1,0.01667,0.05569
72,23C_d102,S494P,1,0.005556,0.4997
73,23C_d102,S494P,1,0.001852,0.556
74,23C_d102,S494P,1,0.0006173,0.8889
76,23C_d102,S494P,1,6.86E-05,0.6934
77,23C_d102,S494P,2,0.05,0.03742
78,23C_d102,S494P,2,0.01667,0.04985
79,23C_d102,S494P,2,0.005556,0.4333
80,23C_d102,S494P,2,0.001852,0.721
81,23C_d102,S494P,2,0.0006173,1.052
83,23C_d102,S494P,2,6.86E-05,0.6443
84,13_d15,P384L,1,0.01667,0.02501
85,13_d15,P384L,1,0.005556,0.2487
86,13_d15,P384L,1,0.001852,0.3503
87,13_d15,P384L,1,0.0006173,0.6655
89,13_d15,P384L,1,6.86E-05,1.048
90,13_d15,P384L,1,2.29E-05,0.8501
91,13_d15,P384L,2,0.01667,0.08006
92,13_d15,P384L,2,0.005556,0.206
93,13_d15,P384L,2,0.001852,0.2992
94,13_d15,P384L,2,0.0006173,0.5735
96,13_d15,P384L,2,6.86E-05,0.8605
97,13_d15,P384L,2,2.29E-05,0.9093
98,13_d121,P384L,1,0.05,0.0002168
99,13_d121,P384L,1,0.01667,0.0552
100,13_d121,P384L,1,0.005556,0.3263
101,13_d121,P384L,1,0.001852,0.5952
104,13_d121,P384L,1,6.86E-05,0.792
105,13_d121,P384L,2,0.05,0.0001256
106,13_d121,P384L,2,0.01667,0.05291
107,13_d121,P384L,2,0.005556,0.2914
108,13_d121,P384L,2,0.001852,0.6956
111,13_d121,P384L,2,6.86E-05,0.7419
112,23_d21,P384L,1,0.005,0.02388
113,23_d21,P384L,1,0.001667,0.03817
114,23_d21,P384L,1,0.0005556,0.2035
115,23_d21,P384L,1,0.0001852,0.3092
116,23_d21,P384L,1,6.17E-05,0.4469
117,23_d21,P384L,1,2.06E-05,1.048
118,23_d21,P384L,1,6.86E-06,0.7785
119,23_d21,P384L,2,0.005,0.000296
120,23_d21,P384L,2,0.001667,0.04174
121,23_d21,P384L,2,0.0005556,0.1581
122,23_d21,P384L,2,0.0001852,0.214
123,23_d21,P384L,2,6.17E-05,0.5267
124,23_d21,P384L,2,2.06E-05,0.5728
125,23_d21,P384L,2,6.86E-06,0.6761
126,23_d120,P384L,1,0.05,0.0009272
127,23_d120,P384L,1,0.01667,0.008372
128,23_d120,P384L,1,0.005556,0.1509
129,23_d120,P384L,1,0.001852,0.5175
130,23_d120,P384L,1,0.0006173,0.6259
131,23_d120,P384L,1,0.0002058,0.8503
132,23_d120,P384L,1,6.86E-05,0.818
133,23_d120,P384L,2,0.05,0.0002912
134,23_d120,P384L,2,0.01667,0.0261
135,23_d120,P384L,2,0.005556,0.1206
136,23_d120,P384L,2,0.001852,0.4065
137,23_d120,P384L,2,0.0006173,0.6385
138,23_d120,P384L,2,0.0002058,0.9802
139,23_d120,P384L,2,6.86E-05,0.7736
140,22C_d28,WT,1,0.025,0.0155
141,22C_d28,WT,1,0.008333,0.0009148
142,22C_d28,WT,1,0.002778,0.2813
143,22C_d28,WT,1,0.0009259,0.3411
144,22C_d28,WT,1,0.0003086,0.5695
147,22C_d28,WT,2,0.025,0.002475
148,22C_d28,WT,2,0.008333,0.0004209
149,22C_d28,WT,2,0.002778,0.002993
150,22C_d28,WT,2,0.0009259,0.587
151,22C_d28,WT,2,0.0003086,0.6397
154,22C_d104,WT,1,0.025,0.02682
155,22C_d104,WT,1,0.008333,0.0003786
156,22C_d104,WT,1,0.002778,0.01684
157,22C_d104,WT,1,0.0009259,0.5022
158,22C_d104,WT,1,0.0003086,0.4801
160,22C_d104,WT,1,3.43E-05,0.4932
161,22C_d104,WT,2,0.025,0.02619
162,22C_d104,WT,2,0.008333,0.0004924
163,22C_d104,WT,2,0.002778,0.0312
164,22C_d104,WT,2,0.0009259,0.01746
165,22C_d104,WT,2,0.0003086,0.7683
167,22C_d104,WT,2,3.43E-05,0.8779
168,23C_d26,WT,1,0.05,0.2685
169,23C_d26,WT,1,0.01667,0.009394
170,23C_d26,WT,1,0.005556,0.02017
171,23C_d26,WT,1,0.001852,0.04178
172,23C_d26,WT,1,0.0006173,0.6379
173,23C_d26,WT,1,0.0002058,0.9955
174,23C_d26,WT,1,6.86E-05,0.8187
175,23C_d26,WT,2,0.05,0.1057
176,23C_d26,WT,2,0.01667,0.01156
177,23C_d26,WT,2,0.005556,0.02131
178,23C_d26,WT,2,0.001852,0.01152
179,23C_d26,WT,2,0.0006173,0.753
180,23C_d26,WT,2,0.0002058,0.929
181,23C_d26,WT,2,6.86E-05,0.5291
182,23C_d102,WT,1,0.05,0.00225
183,23C_d102,WT,1,0.01667,0.01659
184,23C_d102,WT,1,0.005556,0.1604
185,23C_d102,WT,1,0.001852,0.5511
186,23C_d102,WT,1,0.0006173,0.6756
187,23C_d102,WT,1,0.0002058,0.997
188,23C_d102,WT,1,6.86E-05,0.9675
189,23C_d102,WT,2,0.05,0.01507
190,23C_d102,WT,2,0.01667,0.0007881
191,23C_d102,WT,2,0.005556,0.1694
192,23C_d102,WT,2,0.001852,0.4927
193,23C_d102,WT,2,0.0006173,0.6144
194,23C_d102,WT,2,0.0002058,0.7664
195,23C_d102,WT,2,6.86E-05,0.7726
196,13_d15,WT,1,0.01667,0.05774
197,13_d15,WT,1,0.005556,0.1434
199,13_d15,WT,1,0.0006173,0.5787
200,13_d15,WT,1,0.0002058,0.7797
201,13_d15,WT,1,6.86E-05,0.7662
202,13_d15,WT,1,2.29E-05,0.8395
203,13_d15,WT,2,0.01667,0.06757
204,13_d15,WT,2,0.005556,0.1289
206,13_d15,WT,2,0.0006173,0.4922
207,13_d15,WT,2,0.0002058,0.8678
208,13_d15,WT,2,6.86E-05,0.8163
209,13_d15,WT,2,2.29E-05,0.8818
210,13_d121,WT,1,0.05,9.38E-05
211,13_d121,WT,1,0.01667,0.0419
212,13_d121,WT,1,0.005556,0.2552
213,13_d121,WT,1,0.001852,0.4761
214,13_d121,WT,1,0.0006173,0.9072
215,13_d121,WT,1,0.0002058,0.7805
216,13_d121,WT,1,6.86E-05,0.6878
217,13_d121,WT,2,0.05,0.0002042
218,13_d121,WT,2,0.01667,0.02645
219,13_d121,WT,2,0.005556,0.252
220,13_d121,WT,2,0.001852,0.4125
221,13_d121,WT,2,0.0006173,0.857
222,13_d121,WT,2,0.0002058,0.7165
223,13_d121,WT,2,6.86E-05,0.7833
224,23_d21,WT,1,0.005,0.02713
225,23_d21,WT,1,0.001667,0.04046
226,23_d21,WT,1,0.0005556,0.2415
227,23_d21,WT,1,0.0001852,0.3118
228,23_d21,WT,1,6.17E-05,0.5889
230,23_d21,WT,1,6.86E-06,0.7408
231,23_d21,WT,2,0.005,0.02252
232,23_d21,WT,2,0.001667,0.07049
233,23_d21,WT,2,0.0005556,0.1227
234,23_d21,WT,2,0.0001852,0.3198
235,23_d21,WT,2,6.17E-05,0.5287
237,23_d21,WT,2,6.86E-06,0.673
238,23_d120,WT,1,0.05,0.0008628
239,23_d120,WT,1,0.01667,0.01244
240,23_d120,WT,1,0.005556,0.07991
