,serum,virus,replicate,concentration,fraction infectivity
0,2017-2018 serum pool,pre-depletion,1,0.05,1.029925903
1,2017-2018 serum pool,pre-depletion,1,0.016666667,0.921121899
2,2017-2018 serum pool,pre-depletion,1,0.005555556,1.176037863
3,2017-2018 serum pool,pre-depletion,1,0.001851852,0.949779698
4,2017-2018 serum pool,pre-depletion,1,0.000617284,0.901572289
5,2017-2018 serum pool,pre-depletion,1,0.000205761,0.901779739
6,2017-2018 serum pool,pre-depletion,1,6.86E-05,0.764342833
7,2017-2018 serum pool,pre-depletion,2,0.05,1.123278441
8,2017-2018 serum pool,pre-depletion,2,0.016666667,0.983449102
9,2017-2018 serum pool,pre-depletion,2,0.005555556,1.363503045
10,2017-2018 serum pool,pre-depletion,2,0.001851852,1.126539381
11,2017-2018 serum pool,pre-depletion,2,0.000617284,1.185599643
12,2017-2018 serum pool,pre-depletion,2,0.000205761,1.118156966
13,2017-2018 serum pool,pre-depletion,2,6.86E-05,0.899564531
