sample_lib,date,experiment,antibody,concentration,selection,cells_sorted,counts all variants,counts SARS-CoV-2 variants,counts:cells all variants,counts:cells SARS-CoV-2 variants
"expt_34-41-none-0-reference, lib1",200910,expt_34-41,none,0,reference,,5.47e+07,5.41e+07,,
"expt_34-41-none-0-reference, lib2",200910,expt_34-41,none,0,reference,,5.39e+07,5.35e+07,,
"expt_46-52-none-0-reference, lib1",200917,expt_46-52,none,0,reference,,3.56e+07,3.53e+07,,
"expt_46-52-none-0-reference, lib2",200917,expt_46-52,none,0,reference,,3.59e+07,3.56e+07,,
"expt_24-33-none-0-reference, lib1",200904,expt_24-33,none,0,reference,,5.4e+07,5.34e+07,,
"expt_24-33-none-0-reference, lib2",200904,expt_24-33,none,0,reference,,5.8e+07,5.75e+07,,
"expt_42-45-none-0-reference, lib1",200915,expt_42-45,none,0,reference,,3.15e+07,3.12e+07,,
"expt_42-45-none-0-reference, lib2",200915,expt_42-45,none,0,reference,,3.46e+07,3.43e+07,,
"expt_13-16-none-0-reference, lib1",200720,expt_13-16,none,0,reference,,2.5e+07,2.46e+07,,
"expt_13-16-none-0-reference, lib2",200720,expt_13-16,none,0,reference,,2.4e+07,2.36e+07,,
"expt_7-11-none-0-reference, lib1",200616,expt_7-11,none,0,reference,,3.39e+07,3.35e+07,,
"expt_7-11-none-0-reference, lib2",200616,expt_7-11,none,0,reference,,3.5e+07,3.46e+07,,
"expt_22-23-none-0-reference, lib1",200810,expt_22-23,none,0,reference,,1.06e+08,1.05e+08,,
"expt_22-23-none-0-reference, lib2",200810,expt_22-23,none,0,reference,,1.02e+08,1e+08,,
"expt_3-6-none-0-reference, lib1",200615,expt_3-6,none,0,reference,,3.23e+07,3.2e+07,,
"expt_3-6-none-0-reference, lib2",200615,expt_3-6,none,0,reference,,3.56e+07,3.51e+07,,
"expt_40-12C_d152-80-escape, lib1",200910,expt_40,12C_d152,80,escape,530574.0,3.46e+06,3.17e+06,6.521695371427925,5.976331294032501
"expt_40-12C_d152-80-escape, lib2",200910,expt_40,12C_d152,80,escape,528440.0,3.02e+06,2.78e+06,5.711259556430248,5.25766785254712
"expt_37-12C_d61-160-escape, lib1",200910,expt_37,12C_d61,160,escape,289524.0,1.79e+06,1.64e+06,6.188329810309336,5.6642592669346925
"expt_37-12C_d61-160-escape, lib2",200910,expt_37,12C_d61,160,escape,373381.0,2.06e+06,1.93e+06,5.523743843419992,5.157846810630429
"expt_52-13_d121-1250-escape, lib1",200917,expt_52,13_d121,1250,escape,521978.0,1.99e+06,1.72e+06,3.8115935920670987,3.2976677177965357
"expt_52-13_d121-1250-escape, lib2",200917,expt_52,13_d121,1250,escape,631476.0,2.22e+06,1.94e+06,3.5157678201546854,3.074050320202193
"expt_31-13_d15-200-escape, lib1",200904,expt_31,13_d15,200,escape,501386.0,2.72e+06,1.98e+06,5.422710247194776,3.940478992233529
"expt_31-13_d15-200-escape, lib2",200904,expt_31,13_d15,200,escape,502894.0,3.45e+06,2.71e+06,6.854724852553421,5.391935477456482
